Date,Open,High,Low,Close,Adj Close,Volume
2018-09-05,145.190002,146.750000,145.050003,146.660004,139.819870,3126500
2018-09-06,146.880005,147.660004,145.539993,146.389999,139.562469,4248800
2018-09-07,145.940002,146.500000,145.119995,145.449997,138.666306,4693100
2018-09-10,146.600006,147.300003,145.559998,145.649994,138.856964,3618300
2018-09-11,146.000000,146.990005,145.250000,146.490005,139.657791,3374700
2018-09-12,146.369995,147.979996,146.029999,146.570007,139.734070,4506700
2018-09-13,147.350006,149.000000,147.119995,148.949997,142.003052,5346500
2018-09-14,148.850006,149.300003,147.779999,148.330002,141.411957,3452100
2018-09-17,148.440002,149.070007,147.770004,147.940002,141.040176,3551900
2018-09-18,147.759995,148.990005,147.470001,148.559998,141.631256,3629400
2018-09-19,148.630005,149.960007,148.229996,149.059998,142.107925,4246200
2018-09-20,149.580002,151.380005,149.440002,151.149994,144.100449,5952200
2018-09-21,151.479996,152.600006,150.740005,151.350006,144.291138,19947500
2018-09-24,151.100006,151.199997,149.460007,150.029999,143.032684,4265000
2018-09-25,149.910004,150.410004,148.360001,148.910004,141.964935,4397500
2018-09-26,152.399994,153.350006,151.339996,151.610001,144.539001,7401900
2018-09-27,152.009995,152.389999,151.160004,151.500000,144.434143,3477600
2018-09-28,151.160004,151.630005,150.789993,151.210007,144.157669,3305800
2018-10-01,151.710007,153.419998,151.710007,153.000000,145.864166,3757400
2018-10-02,152.990005,153.839996,152.500000,153.750000,146.579178,3029900
2018-10-03,154.000000,154.360001,152.800003,153.220001,146.073898,3315300
2018-10-04,151.690002,152.800003,150.360001,151.309998,144.252991,4237900
2018-10-05,150.899994,151.789993,147.869995,149.029999,142.079330,4602200
2018-10-08,148.500000,149.070007,147.179993,148.389999,141.469162,3239300
2018-10-09,148.080002,148.360001,146.929993,147.240005,140.372818,3642400
2018-10-10,147.500000,147.690002,142.500000,142.690002,136.035004,5547700
2018-10-11,142.619995,144.190002,138.779999,139.020004,132.536179,8710500
2018-10-12,141.119995,141.539993,139.080002,140.850006,134.280838,6563400
2018-10-15,140.380005,142.259995,140.139999,141.130005,134.547791,4965500
2018-10-16,142.929993,145.449997,141.580002,145.119995,138.351685,8695500
2018-10-17,135.889999,137.149994,133.419998,134.050003,127.797989,19464000
2018-10-18,132.729996,133.399994,130.039993,130.550003,124.461220,10011700
2018-10-19,130.649994,131.889999,127.959999,129.100006,123.078857,7791600
2018-10-22,129.580002,130.440002,128.399994,130.020004,123.955940,5719500
2018-10-23,129.020004,131.899994,128.410004,131.210007,125.090446,6463600
2018-10-24,131.169998,131.690002,127.000000,127.209999,121.277000,5710300
2018-10-25,127.250000,127.790001,125.139999,126.449997,120.552444,10304300
2018-10-26,125.209999,125.779999,123.709999,124.790001,118.969864,8767000
2018-10-29,119.339996,123.949997,118.300003,119.639999,114.060059,20450400
2018-10-30,120.480003,121.500000,115.150002,115.400002,110.017807,21458600
2018-10-31,116.489998,116.500000,114.089996,115.430000,110.046410,21645000
2018-11-01,115.500000,117.000000,115.110001,116.830002,111.381119,13626700
2018-11-02,117.510002,117.750000,114.540001,115.669998,110.275215,10592700
2018-11-05,116.099998,120.769997,116.000000,120.059998,114.460464,9144600
2018-11-06,120.699997,123.809998,120.309998,123.120003,117.377762,9597400
2018-11-07,123.790001,125.059998,122.330002,124.839996,119.017525,12382700
2018-11-08,122.660004,124.400002,122.629997,123.379997,119.123734,10396400
2018-11-09,123.610001,124.570000,121.959999,123.540001,119.278229,6961800
2018-11-12,123.500000,123.570000,120.650002,120.900002,116.729294,5379100
2018-11-13,121.190002,122.250000,119.900002,120.839996,116.671356,4084400
2018-11-14,121.110001,121.930000,119.769997,120.199997,116.053444,4762300
2018-11-15,119.660004,121.440002,119.510002,121.440002,117.250671,5207900
2018-11-16,120.889999,121.849998,120.540001,121.570000,117.376175,4076300
2018-11-19,121.629997,122.180000,119.769997,120.309998,116.159645,4131200
2018-11-20,118.489998,119.489998,116.699997,117.199997,113.156929,6233800
2018-11-21,117.610001,119.510002,117.389999,118.570000,114.479668,5335800
2018-11-23,118.089996,118.339996,116.910004,117.190002,113.147278,2334700
2018-11-26,118.370003,120.250000,118.059998,119.559998,115.435516,5011100
2018-11-27,118.379997,120.040001,118.370003,120.029999,115.889297,4903800
2018-11-28,121.010002,123.089996,120.220001,123.000000,118.756851,5104500
2018-11-29,122.440002,123.120003,121.400002,121.480003,117.289284,5200100
2018-11-30,121.660004,124.690002,121.480003,124.269997,119.983032,7251600
2018-12-03,125.669998,126.589996,124.360001,125.309998,120.987160,5846400
2018-12-04,124.489998,124.919998,121.330002,121.599998,117.405136,6000700
2018-12-06,119.720001,123.910004,119.300003,123.910004,119.635460,6938000
2018-12-07,123.900002,124.050003,118.870003,119.339996,115.223106,7019600
2018-12-10,119.739998,121.680000,118.519997,121.129997,116.951355,6549500
2018-12-11,123.250000,123.809998,120.000000,120.889999,116.719635,5043100
2018-12-12,122.510002,122.879997,121.000000,121.160004,116.980324,3560500
2018-12-13,121.260002,121.790001,120.169998,120.730003,116.565170,3993600
2018-12-14,119.500000,121.110001,119.440002,119.900002,115.763786,4554200
2018-12-17,119.070000,119.779999,115.070000,116.099998,112.094879,7374500
2018-12-18,116.900002,118.230003,116.019997,116.650002,112.625908,6290200
2018-12-19,117.150002,120.269997,115.970001,116.430000,112.413498,6979800
2018-12-20,115.699997,116.449997,111.699997,113.019997,109.121124,8454400
2018-12-21,112.500000,115.279999,110.440002,110.940002,107.112885,10386500
2018-12-24,109.900002,111.000000,107.500000,107.570000,103.859131,3821400
2018-12-26,108.000000,111.389999,105.940002,111.389999,107.547356,6645800
2018-12-27,109.989998,113.779999,109.470001,113.779999,109.854912,6045600
2018-12-28,114.220001,114.800003,112.500000,113.029999,109.130783,5117500
2018-12-31,113.330002,114.349998,112.419998,113.669998,109.748711,4982800
2019-01-02,112.010002,115.980003,111.690002,115.209999,111.235573,4239900
2019-01-03,114.529999,114.879997,112.690002,112.910004,109.014923,4346700
2019-01-04,114.910004,117.489998,114.440002,117.320000,113.272789,4477800
2019-01-07,117.500000,118.830002,116.669998,118.150002,114.074165,3751200
2019-01-08,119.660004,120.570000,118.980003,119.830002,115.696205,4763600
2019-01-09,120.910004,121.400002,119.870003,120.690002,116.526535,3633700
2019-01-10,120.080002,121.860001,119.949997,121.790001,117.588585,3910000
2019-01-11,121.580002,121.620003,120.199997,121.459999,117.269974,3722400
2019-01-14,120.510002,120.650002,119.760002,120.389999,116.236893,5228700
