Adj Close,Volume,HL_PCT,PCT_change,target
98.14296722,6155300,1.600600352,0.968138697,91.70459747
96.95737457,6841400,1.337409185,-0.630305755,91.40689087
96.32752991,5605300,1.292313796,-0.52034949,92.09165192
95.99411011,5840600,1.034346821,-0.246394146,92.29258728
96.95737457,4197200,1.429113512,1.37909559,93.20811462
95.9422226,5730400,1.845844508,-1.205556127,94.02682495
96.70542908,8081500,1.785305286,1.147016772,95.12837219
96.49797058,6455400,1.505023051,-0.122711606,94.66693115
98.03922272,7111800,2.116244504,1.348138235,94.41385651
97.646492,8494400,1.365915214,-0.189350907,94.1235733
99.39518738,13916200,2.005369356,1.906855894,94.96463013
96.51279449,15197500,1.689057158,-0.160974017,94.57762146
95.586586,9608600,2.038763475,-1.126696717,94.64460754
92.99313354,10088600,2.804778202,-2.463665356,95.69405365
93.45256805,5738500,0.935617094,-0.166230572,94.83808899
93.1783905,7135300,1.860832078,-0.135004901,94.43615723
93.6081543,8719200,1.519827548,0.405342662,94.31710052
91.69642639,9622200,3.224240698,-2.582066292,94.71159363
90.68868256,11571200,2.53288544,-1.552445552,94.08637238
92.37810516,7242900,1.740593728,1.168542378,93.44628143
93.0153656,5899900,1.481718018,0.592994517,93.4983902
93.11171722,4177100,0.795798162,0.399488643,94.97207642
91.14067841,9126900,2.065041395,-1.749342918,95.22515106
91.52597046,8617000,1.530116128,0.39011356,95.14328766
90.71471405,5718500,1.214311938,-1.031266144,95.76847839
91.70459747,6044500,1.412221311,0.456581779,95.09117126
91.40689087,5219100,1.172544964,-0.105746608,95.55261993
92.09165192,5089000,1.729571916,0.938164063,95.05396271
92.29258728,8017700,1.967743904,0.804810866,95.25489044
93.20811462,6777300,0.894356557,0.256184201,96.28947449
94.02682495,5827400,1.044882194,0.661356041,95.66428375
95.12837219,5525900,1.564822814,1.331959361,96.19274902
94.66693115,6303100,0.935604048,-0.125634892,96.20760345
94.41385651,3808100,0.882934773,-0.353499267,95.70891571
94.1235733,4591900,1.312670943,-0.015816154,95.84288788
94.96463013,4782000,1.1442956,0.448748,95.45587921
94.57762146,5658700,1.31423481,0.809200015,95.45587921
94.64460754,4784200,0.990879286,0.118102136,96.2746048
95.69405365,4577700,1.057789945,0.839221431,95.96201324
94.83808899,6013300,1.538219363,-0.99456007,95.62705231
94.43615723,6390000,1.056119165,-0.665470979,94.97952271
94.31710052,6032300,1.262625046,-0.275437534,95.83544922
94.71159363,6140200,0.400787533,0.062909359,95.53772736
94.08637238,6199300,0.901826878,-0.511564544,96.0364151
93.44628143,7528800,0.868183147,-0.57020164,97.68876648
93.4983902,6916200,0.915460516,-0.293670231,97.42080688
94.97207642,7922200,1.645766849,1.503459871,97.22729492
95.22515106,5169500,0.67218459,0.023453036,98.41814423
95.14328766,4497700,0.829224394,0.337519859,96.52765656
95.76847839,6134900,1.111376354,0.523436069,96.00665283
95.09117126,6348400,1.228860394,-0.884400166,96.1108551
95.55261993,4954400,1.012621127,0.721799627,96.75096893
95.05396271,10744300,1.683496916,0,97.30172729
95.25489044,5651900,1.422096927,0.6844487,95.88012695
96.28947449,5978500,1.383623215,1.117705681,96.83282471
95.66428375,6669300,1.151478831,-0.077747104,97.10077667
96.19274902,7603200,1.237999672,-0.092760603,96.01410675
96.20760345,5550800,0.820050753,0.255954277,96.46063995
95.70891571,4643000,1.314256544,-0.549115775,95.35913086
95.84288788,3426600,0.683392757,-0.10084533,94.86788177
95.45587921,4904800,0.857698615,0.015600307,92.70583344
95.45587921,4980500,1.372315405,-0.542843711,91.34428406
96.2746048,4118700,1.283342546,0.755570325,94.46389771
95.96201324,3926300,0.969518398,0.194280397,94.92770386
95.62705231,5157000,0.980705018,-0.038903799,99.2592926
94.97952271,6006900,0.807145815,-0.33582685,98.36153412
95.83544922,5185100,1.359111871,0.688143003,98.14460754
95.53772736,3992300,0.560923354,-0.163340361,97.58354187
96.0364151,6819100,1.232268738,0.60034641,97.21695709
97.68876648,8545800,1.493326823,1.171667558,96.40150452
97.42080688,6425300,0.725797962,0.275799137,92.61605072
97.22729492,9546200,1.469798742,-0.038252063,93.8279953
98.41814423,11353700,1.436885698,1.418922209,93.10236359
96.52765656,15216500,1.596119427,0.379261227,93.15470886
96.00665283,7559200,1.372202649,-0.677592714,92.18964386
96.1108551,6018500,1.231320303,0.380912232,94.55366516
96.75096893,6197300,1.069312509,0.704991981,93.70830536
97.30172729,5285400,1.147403082,0.747534881,93.02003479
95.88012695,10916700,2.553945893,-0.831398478,95.3167572
96.83282471,7122300,1.106842716,0.540967728,95.72821045
97.10077667,5786900,0.812519364,-0.068936297,93.72328949
96.01410675,6266700,1.395351203,-1.09636798,92.86292267
96.46063995,4992100,1.033947743,0.162305213,92.55621338
95.35913086,8285000,1.842017695,-0.597411961,92.69088745
94.86788177,6072800,1.066995913,0.267460927,95.51873779
92.70583344,13168800,9.627179214,-1.876635307,96.09480286
91.34428406,10584800,3.59541314,-1.021402505,96.13218689
94.46389771,8463900,1.275046055,0,97.09725189
94.92770386,6498900,2.577032594,1.34174612,97.5161972
99.2592926,16626900,4.401570915,4.340978967,97.98749542
98.36153412,10497800,1.711286943,0.420074148,97.36656952
98.14460754,9920100,1.722688059,0.099194938,97.74060822
97.58354187,8923400,2.345904248,-0.183647266,96.73066711
97.21695709,9330000,1.608319851,-0.99801738,97.33664703
96.40150452,8669300,2.079776729,-0.394213903,95.90026093
92.61605072,13176500,3.457187943,-2.688255098,95.09979248
93.8279953,12639500,3.356720735,2.668626727,96.49129486
